,Global_Score_Lung,Selective_Score_Lung,Driver_Delta,Rank
ASCL1 (429),-0.1579616971983471,-1.0048750133333333,0.8469133161349862,1.0
HNF1B (6928),-0.3703063130578512,-1.178686975,0.8083806619421487,2.0
CCND1 (595),-1.1520675444710742,-1.7399318166666669,0.5878642721955927,3.0
KLF5 (688),-0.4583997252892562,-0.9885344533333335,0.5301347280440772,4.0
TP63 (8626),0.011620112479338853,-0.4985542716666667,0.5101743841460056,5.0
KRAS (3845),-0.6888927504958677,-1.1389179166666668,0.450025166170799,6.0
MDM2 (4193),-0.5265283794214877,-0.9570014374999999,0.4304730580785122,7.0
CCND3 (896),-0.2613556333884297,-0.6666274141666667,0.405271780778237,8.0
EBF1 (1879),-0.03567880404909091,-0.4240151066666666,0.3883363026175757,9.0
CFLAR (8837),-0.754964685123967,-1.1339987999999999,0.3790341148760329,10.0
MYB (4602),-0.2957733461983471,-0.6009020208333332,0.3051286746349861,11.0
ZEB2 (9839),-0.2534476594628099,-0.5463774625,0.2929298030371901,12.0
CDK6 (1021),-0.6587408090082644,-0.9400558866666668,0.28131507765840247,13.0
FERMT2 (10979),-0.7604055645123967,-1.0377652333333331,0.27735966882093643,14.0
ISL1 (3670),-0.10624822862975207,-0.3808118991666667,0.2745636705369146,15.0
SOX2 (6657),-0.06477664425619835,-0.3380820158333333,0.27330537157713497,16.0
CCND2 (894),-0.11960465834710743,-0.38534458666666666,0.2657399283195592,17.0
BCL2L1 (598),-1.2428956690082644,-1.47953225,0.23663658099173568,18.0
WWTR1 (25937),-0.43731114611570254,-0.6675302966666666,0.2302191505509641,19.0
ITGB5 (3693),-0.3343412243801653,-0.5460222041666666,0.2116809797865013,20.0
IFITM3 (10410),-1.204324140495868,-1.4146483083333334,0.21032416783746544,21.0
CDK4 (1019),-0.813109479752066,-1.0100265000000002,0.19691702024793412,22.0
DUSP4 (1846),-0.06549709322727272,-0.2597710816666667,0.19427398843939397,23.0
POU2F3 (25833),0.008791404254545455,-0.18298879216666666,0.1917801964212121,24.0
FGFR1 (2260),-0.09454289321710745,-0.28214189083333335,0.1875989976162259,25.0
EGFR (1956),-0.3559068395041322,-0.53715577,0.18124893049586782,26.0
FOXA1 (3169),-0.159017614446281,-0.3371765416666666,0.1781589272203856,27.0
ERBB2 (2064),-0.28316952495867775,-0.45730100749999997,0.1741314825413222,28.0
PTEN (5728),0.49698136917355373,0.32291405083333335,0.17406731834022038,29.0
GATA3 (2625),-0.05175744099421488,-0.2159865515,0.16422911050578515,30.0
GRHL2 (79977),-0.1402164949090909,-0.30331723083333334,0.16310073592424243,31.0
EP300 (2033),-0.3003039170247934,-0.46304597666666664,0.16274205964187322,32.0
PAX5 (5079),-0.09918663212396694,-0.2613938983333333,0.16220726620936637,33.0
FOSL1 (8061),-0.43402263851239664,-0.5941819858333334,0.16015934732093673,34.0
ZNF217 (7764),-0.1692388490743802,-0.3290576183333333,0.1598187692589531,35.0
PARD6B (84612),-0.11562054256198347,-0.26940123499999996,0.1537806924380165,36.0
TIPARP (25976),-0.4191228244628099,-0.5722518141666667,0.1531289897038568,37.0
NLGN4Y (22829),0.48067001421487604,0.3284168275,0.15225318671487603,38.0
SNAI2 (6591),-0.08402228573553719,-0.23597433166666662,0.15195204593112943,39.0
ZFP36L1 (677),-0.26054919481818184,-0.41170383499999996,0.15115464018181812,40.0
SOX9 (6662),-0.255955730661157,-0.40072748166666666,0.14477175100550965,41.0
GEMIN8 (54960),-0.7002403041322314,-0.8446221608333334,0.14438185670110204,42.0
MBTPS2 (51360),-0.5247477919008265,-0.6685599774999998,0.1438121855991733,43.0
