Gene_Symbol,Bowel,Breast,Brain,Stomach,Head and Neck,Kidney,Liver,Lung,Ovary,Pancreas,Prostate,Skin
A1BG,14.13,14.02,14.18,14.15,14.25,14.06,14.12,14.05,14.06,13.9,14.29,14.21
A1CF,14.26,14.99,14.41,14.57,14.54,14.42,13.53,14.84,14.56,14.57,14.48,14.26
A2M,9.71,9.59,9.44,9.6,9.77,9.62,9.38,9.61,9.5,9.66,9.64,9.19
A2ML1,7.34,7.54,7.08,7.31,7.32,7.2,7.28,7.49,7.35,7.58,7.43,7.08
A3GALT2,17.46,17.49,17.53,17.5,17.56,17.46,17.6,17.53,17.45,17.46,17.57,17.58
A4GALT,13.94,14.0,14.3,14.24,14.21,14.23,14.29,14.02,14.08,13.89,14.16,14.49
A4GNT,9.93,9.7,10.23,9.93,9.93,9.82,9.82,9.86,9.94,9.54,9.79,10.25
AAAS,14.5,14.09,14.37,14.27,14.13,14.48,14.7,14.56,14.56,14.33,13.96,14.37
AACS,11.24,11.14,11.9,11.41,11.68,11.49,11.56,11.33,11.51,11.22,11.47,11.79
AADAC,4.57,4.75,4.53,4.46,4.45,4.33,4.05,4.51,4.55,3.96,4.67,4.62
AADACL2,11.63,11.3,11.51,11.51,11.57,11.53,11.39,11.44,11.47,11.46,11.51,11.67
AADACL3,6.21,6.42,6.82,6.38,6.5,6.55,6.53,6.46,6.64,6.3,6.53,6.73
AADACL4,9.46,9.42,9.89,9.49,9.32,9.43,9.65,9.51,9.46,9.11,9.68,9.78
AADAT,14.05,14.1,14.1,13.9,13.81,14.23,13.71,14.19,13.93,14.01,13.81,14.07
AAGAB,8.55,8.34,8.15,8.48,8.31,7.96,8.28,8.36,8.16,8.1,8.51,8.39
AAK1,17.02,17.23,17.53,17.31,17.4,17.55,17.76,17.65,17.74,17.74,17.04,17.45
AAMDC,12.34,12.33,12.62,12.3,12.18,12.64,12.54,12.45,12.42,12.5,12.46,12.36
AANAT,13.61,13.94,14.09,13.74,13.8,13.96,13.94,13.77,13.94,13.47,13.93,14.08
AAR2,12.29,12.42,12.01,12.33,12.24,12.13,12.18,12.31,12.26,12.35,12.41,12.01
AARD,17.18,17.82,16.65,17.48,17.45,16.93,17.05,17.27,16.79,17.29,17.27,16.77
AARS1,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
AARS2,32.58,29.92,28.76,33.96,33.21,26.36,28.66,30.5,29.65,29.39,32.07,30.33
